-1,stop,1201930249.0
1,199.719847915,1201931804.0
-1,stop,1201931809.0
2,21.1495577431,1201931872.0
-1,stop,1201931879.0
3,0,1201933574.0
-1,stop,1201933579.0
4,49.8584845171,1201933654.0
-1,stop,1201933659.0
5,109.395074622,1201935369.0
6,289.396555944,1201935373.0
-1,stop,1201935374.0
7,270,1201937044.0
8,89.9998987595,1201937045.0
-1,stop,1201937049.0
9,352.058255318,1201937254.0
10,354.739471396,1201937259.0
11,0,1201937264.0
12,358.668091121,1201937269.0
13,6.25512825487,1201937274.0
14,8.44675183416,1201937279.0
-1,stop,1201937284.0
15,258.661697276,1201937289.0
16,268.444625837,1201937294.0
17,271.493188167,1201937299.0
18,279.546330109,1201937304.0
-1,stop,1201937309.0
19,180,1201937469.0
20,186.041082685,1201937474.0
21,157.506448957,1201937479.0
22,152.909578005,1201937489.0
23,178.372229079,1201937495.0
24,186.082858604,1201937499.0
25,166.516435859,1201937504.0
26,178.668052468,1201937509.0
27,184.617601061,1201937514.0
28,181.373569209,1201937519.0
29,183.377835338,1201937524.0
30,193.620518486,1201937529.0
31,219.567734327,1201937534.0
32,241.662802821,1201937539.0
33,241.197435405,1201937544.0
34,238.973001996,1201937549.0
35,239.188052439,1201937554.0
-1,stop,1201937559.0
36,228.512235562,1201937589.0
37,240.064480134,1201937594.0
38,246.343616055,1201937599.0
39,247.436021282,1201937609.0
40,238.364035506,1201937614.0
41,243.123723293,1201937619.0
-1,stop,1201937624.0
42,257.96177272,1201937629.0
-1,stop,1201937644.0
43,237.449613578,1201937678.0
44,233.935542262,1201937688.0
45,243.955176649,1201937693.0
46,241.61536788,1201937698.0
47,274.515952848,1201937703.0
48,343.384423301,1201937708.0
49,341.506018972,1201937713.0
50,325.899830198,1201937718.0
51,344.846603885,1201937723.0
52,355.753183621,1201937728.0
53,2.3750750731,1201937733.0
54,0.915833779873,1201937738.0
55,357.513067177,1201937743.0
56,358.309602459,1201937748.0
57,0,1201937753.0
58,2.74555379665,1201937758.0
59,0,1201937763.0
60,0,1201937768.0
61,356.863078908,1201937783.0
62,354.79868865,1201937788.0
63,359.254956034,1201937793.0
64,359.653868327,1201937798.0
65,2.19686641191,1201937808.0
66,8.12346979613,1201937813.0
67,39.9282213755,1201937818.0
68,84.0471292924,1201937823.0
69,90,1201937828.0
70,71.9516570535,1201937833.0
71,56.9073902406,1201937838.0
72,73.6552228934,1201937843.0
73,85.4832972094,1201937848.0
74,90,1201937853.0
75,94.3003867895,1201937858.0
76,91.4087785615,1201937863.0
77,88.6666635095,1201937868.0
78,87.2863818427,1201937873.0
79,90,1201937878.0
80,90.6946666563,1201937883.0
-1,stop,1201937903.0
81,86.233697804,1201937913.0
82,90,1201937923.0
83,95.1720395832,1201937928.0
84,88.0609913164,1201937933.0
85,92.0735477285,1201937938.0
86,91.4358592223,1201937943.0
87,87.8672620008,1201937948.0
-1,stop,1201937953.0
88,88.1791416472,1201937968.0
89,92.1327379977,1201937973.0
90,90,1201937978.0
91,99.4470979704,1201937983.0
92,96.7576005579,1201937988.0
93,88.4762732781,1201937993.0
94,94.1416702245,1201937998.0
95,97.0101054583,1201938003.0
-1,stop,1201938008.0
96,172.713133185,1201938018.0
97,181.856826439,1201938023.0
98,241.175870807,1201938048.0
99,294.200749457,1201938053.0
-1,stop,1201938068.0
100,265.034012373,1201938088.0
101,251.634552626,1201938093.0
-1,stop,1201938105.0
102,257.74432471,1201938108.0
-1,stop,1201938118.0
103,266.609585315,1201938238.0
104,266.075817387,1201938248.0
105,180,1201938258.0
106,174.158830884,1201938263.0
107,142.502029432,1201938273.0
108,170.876622847,1201938278.0
109,181.690354908,1201938283.0
110,181.542166019,1201938288.0
111,180,1201938293.0
112,183.466514269,1201938298.0
113,206.727105992,1201938303.0
114,239.452653919,1201938308.0
115,239.593968768,1201938313.0
-1,stop,1201938343.0
116,246.1824739,1201938378.0
117,244.865766171,1201938388.0
118,243.954777749,1201938393.0
